State,District,Cases
A&N Islands,Pending,1
Andhra Pradesh,Chitoor,1
Andhra Pradesh,East Godavari,2
Andhra Pradesh,Guntur,1
Andhra Pradesh,Krishna,1
Andhra Pradesh,Nellore,1
Andhra Pradesh,Prakasam,1
Andhra Pradesh,"Vijayawada,Krishna",1
Andhra Pradesh,Vizag,3
Andhra Pradesh,Pending,1
BIHAR,MUNGER,2
BIHAR,PATNA,3
BIHAR,Pending,1
Chandigarh,Chandigarh,7
Chhattisgarh,Raipur,2
Chhattisgarh,Rajnandgaon,1
Chhattisgarh,Pending,3
Delhi,Central,3
Delhi,East Delhi,5
Delhi,North Delhi,4
Delhi,North East,5
Delhi,North West,5
Delhi,South Delhi,5
Delhi,South West,3
Delhi,West Delhi,5
Delhi,Pending,1
Goa,Pending,3
Gujarat,Ahmedabad,14
Gujarat,Gandhinagar,7
Gujarat,Kutch,1
Gujarat,Rajkot,3
Gujarat,Surat,6
Gujarat,Vadodara,7
Gujarat,Pending,5
Haryana,Faridabad,1
Haryana,Gurugram,24
Haryana,Palwal,1
Haryana,Panchkula,1
Haryana,Panipat,2
Haryana,Sonipat,1
Himachal Pradesh,Kangra,3
J&K,Bandipora,5
J&K,Jammu,3
J&K,Srinagar,3
J&K,Pending,2
Karnataka,BBMP,1
Karnataka,Bengaluru,9
Karnataka,Bengaluru Urban,7
Karnataka,Chikkaballapura,3
Karnataka,Dakshin Kannada,1
Karnataka,Dharwad,1
Karnataka,Kalaburgi,3
Karnataka,Kodagu,1
Karnataka,Mysore,1
Karnataka,Uttar Kannada,2
Karnataka,Pending,26
Kerala,Alappuzha,2
Kerala,Ernakulam,20
Kerala,Idukki,2
Kerala,Kannur,13
Kerala,Kasargod,45
Kerala,Kottayam,3
Kerala,Kozhikode,5
Kerala,Mallapuram,5
Kerala,Palakkad,3
Kerala,Pathanamthitta,12
Kerala,Thiruvanthpuram,5
Kerala,Thrissur,3
Kerala,Pending,19
Ladakh,Kargil,2
Ladakh,Leh,11
Madhya Pradesh,Bhopal,2
Madhya Pradesh,Gwalior,1
Madhya Pradesh,Indore,4
Madhya Pradesh,Jabalpur,6
Madhya Pradesh,Shivpuri,1
Madhya Pradesh,Ujjain,1
Madhya Pradesh,Pending,5
Maharashtra,Ahmednagar,3
Maharashtra,Aurangabad,1
Maharashtra,Mumbai,47
Maharashtra,Mumbai Suburb,12
Maharashtra,Nagpur,4
Maharashtra,Palghar,1
Maharashtra,Pune,31
Maharashtra,Raigad,1
Maharashtra,Ratnagiri,1
Maharashtra,Sangli,9
Maharashtra,Satara,2
Maharashtra,Thane,7
Maharashtra,Yavatmal,4
Maharashtra,Pending,7
Manipur,Imphal West,1
Mizoram,Aizwal (W),1
Odisha,Khurda,2
Puducherry,Mahe,1
Punjab,Amritsar,1
Punjab,Hoshiarpur,3
Punjab,Jalandhar,4
Punjab,Ludhiana,1
Punjab,Nawanshahr,1
Punjab,SAS Nagar,5
Punjab,SBS Nagar,18
Rajasthan,Bhilwara,17
Rajasthan,Jaipur,8
Rajasthan,Jhunjhunu,5
Rajasthan,Jodhpur,4
Rajasthan,Pali,1
Rajasthan,Pratapgarh,2
Rajasthan,sikar,1
Rajasthan,Pending,3
Tamil Nadu,Chennai,12
Tamil Nadu,Coimbatoor,1
Tamil Nadu,Erode,3
Tamil Nadu,Kanchipurum,1
Tamil Nadu,Madurai,1
Tamil Nadu,Salem,5
Tamil Nadu,Tiruneveli,1
Tamil Nadu,Tirupur,1
Tamil Nadu,Vellore,1
Tamil Nadu,Pending,3
Telangana,Bhadradri Kothagudam,4
Telangana,Hyderabad,27
Telangana,Karimnagar,1
Telangana,Madchal,1
Telangana,Mahboobnagar,1
Telangana,Medchal,3
Telangana,Ranga Reddy,7
Telangana,Warangal (U),1
Uttar Pradesh,Agra,8
Uttar Pradesh,GB Nagar,14
Uttar Pradesh,Ghaziabad,3
Uttar Pradesh,Jaunpur,1
Uttar Pradesh,Kanpur,1
Uttar Pradesh,Lakhimpur Kheri,1
Uttar Pradesh,Lucknow,8
Uttar Pradesh,Moradabd,1
Uttar Pradesh,Philibhit,2
Uttar Pradesh,Shamli,1
Uttar Pradesh,Varanasi,1
Uttarakhand,Dehradun,4
Uttarakhand,Pauri Garhwal,1
West Bengal,Kolkata,6
West Bengal,North 24 Pargana,2
West Bengal,South 24 Pargana,1
West Bengal,Pending,1
